Temperature (C) ,Detuning (GHz) ,Laser Power (uW) ,Cost filtered (V/nT),Cost unfiltered (V/nT),Loop,Run_number,C(1D),A(1D),G(1D),By(1D),Error C(1D),Error A(1D),Error G(1D),Error By(1D),G1(2D),G2(2D),C(2D),A(2D),Bx(2D),Bz(2D),Error G1(2D),Error G2(2D),Error C(2D),Error A(2D),Error Bx(2D),Error Bz(2D),NA
81,11,1142,0.00005,0.00005,6,109,2.226422,0.008767,173.623658,0,0.000202,0.000446,16.677152,0.123086,883.054908,1243.190394,-2.244492,-0.011612,-15.147909,-158.941838,188.872298,219.862539,0.003562,0.003624,12.549989,21.367515,NA
85,12,997,0.000149,0.000149,6,110,1.958662,0.011168,74.854906,-2.561697,0.000255,0.00118,12.59163,7.96085,1434.183618,1377.519415,-1.97663,-0.013693,-7.116959,27.733657,263.703703,225.509169,0.003822,0.003874,13.146949,15.51121,NA
84,12,907,0.000096,0.000096,6,111,1.800289,0.006686,69.283216,-4.144568,0.000124,0.000604,9.855154,6.331641,2462.910112,2133.633512,-1.829457,-0.024832,-16.760748,-53.004992,623.560085,554.87598,0.011879,0.011898,13.329035,13.355876,NA
85,12,1095,0.000035,0.000035,6,112,2.151531,0.011626,334.893853,44.285888,0.000468,0.000519,32.451313,12.010977,1207.848588,2534.049687,-2.207808,-0.050209,-18.116114,287.060459,672.315317,1407.325007,0.054047,0.054088,11.269847,33.373655,NA
98,10,881,0.000089,0.000089,6,115,1.500584,0.019025,214.064882,-24.002775,0.000389,0.000689,15.518519,7.445452,144657.0775,148571.3036,-249.440402,-247.934605,-0.137254,-203.969887,2386110.616,2450718.907,8179.320685,8179.320685,15.039567,19.35906,NA
114,14,1174,0.000174,0.000174,6,117,1.354218,0.032124,184.179673,69.021312,0.000394,0.000822,9.0279,4.60812,19426.79121,24717.40809,-12.611184,-11.247118,-6.651767,156.147871,593689.4549,755805.061,687.479577,687.479624,10.482246,15.792541,NA
86,11,877,0.000129,0.000129,6,118,1.711508,0.010021,77.422189,-5.347597,0.000134,0.000603,7.465442,4.675738,1750.572763,928.037344,-1.720656,-0.006925,-3.075433,-14.697454,282.698704,83.263171,0.000791,0.00087,15.941312,14.594984,NA
122,11,1152,0.000343,0.000343,6,119,0.989622,0.051776,150.971356,88.864613,0.000333,0.000852,4.50967,2.456994,1171.130262,1918.280472,-1.094955,-0.089833,-9.060996,113.203181,422.170991,658.408238,0.058235,0.058412,10.47713,19.239263,NA
85,12,1142,0.000081,0.000081,6,120,2.255262,0.010564,130.087995,6.617298,0.00019,0.000559,12.081457,6.838262,1053.66569,1948.614979,-2.291233,-0.029451,-14.460253,25.840358,555.67747,961.553645,0.027694,0.027775,11.60316,22.147941,NA
94,12,1142,0.000061,0.000061,7,121,2.115837,0.018216,297.68271,-11.673346,0.000788,0.000975,34.441934,13.81716,69109.76002,99565.46938,-128.715132,-126.595774,-10.824019,220.621325,937147.3638,1350143.091,3433.26028,3433.260281,14.954276,27.804835,NA
