"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G2(2D)"
"109.000000","3.500000","557.000000","0.004760","0.004760","6.000000","118.000000","0.620497","1.146826","240.914829","-10.209188","0.002492","0.003869","1.682224","0.762946","240.914829"
"121.000000","9.000000","748.000000","0.010829","0.010829","6.000000","119.000000","0.499239","1.640327","151.477484","-11.807443","0.006347","0.016130","2.710722","1.473193","151.477484"
"116.000000","7.000000","796.000000","0.007360","0.007360","6.000000","120.000000","0.682136","1.547734","210.281406","-15.345237","0.007007","0.012643","3.421995","1.654366","210.281406"
"111.000000","-0.500000","796.000000","0.004793","0.004793","7.000000","121.000000","0.527500","1.788538","373.179276","-10.806914","0.009483","0.009643","4.301773","1.455351","373.179276"
"124.000000","-0.500000","874.000000","0.008889","0.008889","7.000000","122.000000","0.165343","1.855638","208.764123","-11.255865","0.013671","0.024862","5.560920","2.696685","208.764123"
"111.000000","-0.500000","874.000000","0.002866","0.002866","7.000000","123.000000","0.537079","2.007359","700.449573","-43.022302","0.055366","0.050773","23.120498","3.665916","700.449573"
"111.000000","-0.500000","796.000000","0.004909","0.004909","7.000000","124.000000","0.550916","1.733717","353.187147","-13.141665","0.008846","0.009369","4.125048","1.461077","353.187147"
"109.000000","7.000000","847.000000","0.004806","0.004806","7.000000","125.000000","1.190754","1.404700","292.297025","-9.000371","0.004595","0.005792","2.599759","1.055342","292.297025"
"109.000000","-5.500000","874.000000","0.003705","0.003705","7.000000","126.000000","0.898792","1.821381","491.625591","-5.972920","0.032516","0.029489","14.660568","3.756376","491.625591"
"115.000000","7.000000","796.000000","0.007123","0.007123","7.000000","127.000000","0.681838","1.554239","218.210323","-15.200806","0.005808","0.010063","2.844627","1.352948","218.210323"
"111.000000","7.000000","796.000000","0.005296","0.005296","7.000000","128.000000","0.981176","1.355517","255.956189","-18.992750","0.006747","0.009802","3.889555","1.708833","255.956189"
"115.000000","7.000000","503.000000","0.006750","0.006750","7.000000","129.000000","0.431103","0.971640","143.941188","-9.182192","0.001853","0.004948","1.317325","0.726335","143.941188"
"109.000000","7.000000","796.000000","0.004535","0.004535","7.000000","130.000000","1.172533","1.276643","281.524462","-16.805841","0.006005","0.007873","3.722185","1.547348","281.524462"
"115.000000","7.000000","796.000000","0.007350","0.007350","7.000000","131.000000","0.684279","1.600669","217.770332","-13.175464","0.004024","0.006987","1.912913","0.910614","217.770332"
"115.000000","7.000000","796.000000","0.007013","0.007013","7.000000","132.000000","0.698598","1.547938","220.724744","-13.443875","0.004025","0.006886","1.983565","0.938490","220.724744"
"116.000000","7.000000","796.000000","0.007571","0.007571","7.000000","133.000000","0.647966","1.585465","209.401712","-16.602896","0.005546","0.010054","2.642157","1.279683","209.401712"
"115.000000","7.000000","796.000000","0.007010","0.007010","7.000000","134.000000","0.713522","1.530763","218.374555","-15.131021","0.004930","0.008534","2.452004","1.165813","218.374555"
"117.000000","9.000000","709.000000","0.008357","0.008357","7.000000","135.000000","0.683757","1.404155","168.021015","-10.831802","0.003663","0.008388","1.876799","0.987687","168.021015"
"115.000000","2.500000","503.000000","0.005942","0.005942","7.000000","136.000000","0.303698","1.020517","171.739517","-12.843849","0.002293","0.005134","1.625180","0.849047","171.739517"
"120.000000","6.500000","796.000000","0.010293","0.010293","7.000000","137.000000","0.404221","1.855127","180.227496","-13.950751","0.007579","0.016141","2.989171","1.535620","180.227496"
"115.000000","7.000000","796.000000","0.007388","0.007388","7.000000","138.000000","0.711454","1.598292","216.328507","-14.528015","0.004284","0.007492","2.036880","0.972537","216.328507"
"121.000000","9.000000","748.000000","0.010732","0.010732","7.000000","139.000000","0.502147","1.648989","153.658188","-12.045456","0.006197","0.015530","2.643052","1.430391","153.658188"
"115.000000","-0.500000","858.000000","0.005576","0.005576","7.000000","140.000000","0.356313","1.891590","339.231611","-11.756756","0.011037","0.012081","4.702807","1.719264","339.231611"
"74.000000","7.000000","796.000000","0.000575","0.000575","8.000000","141.000000","2.774243","0.222544","387.346728","-11.566900","0.001331","0.001321","4.862782","1.592296","387.346728"
"115.000000","7.000000","796.000000","0.006584","0.006584","8.000000","142.000000","0.686085","1.461451","221.953913","-13.849586","0.004942","0.008403","2.582178","1.218609","221.953913"
"115.000000","7.500000","796.000000","0.006925","0.006925","8.000000","143.000000","0.717187","1.480392","213.762994","-13.342264","0.004251","0.007533","2.177460","1.045158","213.762994"
"115.000000","7.000000","796.000000","0.006878","0.006878","8.000000","144.000000","0.700921","1.486329","216.110585","-11.322648","0.005204","0.009111","2.660078","1.270614","216.110585"
"115.000000","7.000000","796.000000","0.006992","0.006992","8.000000","145.000000","0.706923","1.524137","217.995514","-12.756232","0.003163","0.005486","1.579510","0.751548","217.995514"
"115.000000","7.000000","668.000000","0.006544","0.006544","8.000000","146.000000","0.602432","1.249619","190.961764","-13.469649","0.003058","0.006125","1.813666","0.911923","190.961764"
