"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)","Run Number"
130,-4,2000,5.1364,0.0017853,0.00098269,2.0417,0.010933,1.4287e-12,1.9024e-10,0.005283,0.00011606,0.01663,0.0018731,8.4195e-05,4.4365,304.67,4.5332e-10,9.1486e-06,1.1652e-12,1.1398e-12,0.3436,39.175,1.1361e-10,66
130,-4,3000,14.399,-0.000262,0.14077,-1.8594,0.17532,1.8286e-07,7.1688e-06,0.074969,5.3081e-06,0.0014252,0.14667,0.14894,1.5768,423.33,9.0945e-11,6.5919e-06,1.3965e-06,1.3585e-06,0.086759,19.978,4.5498e-13,67
130,-4,4000,-24.175,-0.01178,0.46382,-6.5063,0.44341,3.3176e-06,6.2485e-05,0.16931,-20531000,-40.202,0.27502,0.25102,1286000,522.12,1.0189e-09,257.97,0.0028698,0.0026314,1.0388e-06,1930.3,1.8907e-13,68
130,-4,5000,33.365,-0.034113,0.84736,-7.0175,0.7097,1.4151e-05,0.00015753,0.24238,-6.7036e-06,-0.00075858,0.82969,0.85984,2.4468,559.12,0.0059123,75.743,5.625e-05,6.829e-05,0.15426,15.264,1.5232e-13,69
130,-4,6000,44.405,-0.075899,1.3286,-7.8362,1.0242,4.2337e-05,0.00027804,0.30406,-2.9325e-06,-0.00026225,1.2794,1.3259,3.362,617.02,4.9965e-11,3.9906e-07,9.0593e-05,9.1221e-05,0.19309,7.5447e-07,1.4529e-13,70
130,-4,7000,55.499,-0.13494,1.818,-8.315,1.3106,9.0911e-05,0.00037841,0.3358,4.2931e-06,0.00032368,1.7177,1.7755,6.3325,672.64,0.0025499,14.497,0.000246,0.00031922,0.15456,10.971,1.4615e-13,71
130,-4,8000,67.997,-0.2242,2.3918,-8.8486,1.5517,0.00017203,0.00046004,0.33446,1.7007e-06,0.00010487,2.2079,2.2719,6.3931,676.81,0.00041586,1.5808,0.00041869,0.00056262,0.18488,3.2923e-05,1.8961e-13,72
130,-2,1000,48.414,0.001375,2.0346e-05,1.0918,96.498,8.9442e-13,4.9429e-12,27.174,-21.517,-3092.7,0.0016773,0.0017296,-46.454,81168,9.4729e-18,3.0165e-21,1.0738e-10,3.5343e-09,1.1334e-21,7.6528e-24,2.9463e-10,73
130,-2,2000,3.7851,0.0017863,0.0009083,2.2403,0.0082254,1.1997e-12,2.2692e-10,0.0040021,0.0020636,0.024626,0.0018287,4.1514e-05,4.1765,125.25,9.2068e-08,1.1264e-05,2.8246e-13,3.9914e-13,2.4253,32.527,9.6488e-10,74
130,-2,3000,-11.941,-0.00069087,0.19788,-0.39668,0.13418,3.2483e-07,1.6198e-05,0.05898,1.9711e-05,0.002689,0.20325,0.20981,1.1562,325.97,0.048051,894.53,2.9223e-06,3.4417e-06,0.10452,12.312,2.8939e-13,75
130,-2,4000,-19.807,-0.012637,0.60585,-4.9027,0.32108,4.7758e-06,0.00012089,0.12905,1.1591e-06,9.285e-05,0.6057,0.63375,1.3838,399.46,0.00012219,0.7845,2.0514e-05,2.5851e-05,0.13094,1.0667e-06,2.1315e-13,76
130,-2,5000,27.34,-0.035437,1.0906,-5.5465,0.51099,1.9327e-05,0.00030005,0.18785,-6.2154e-06,-0.00038582,1.0697,1.1215,1.6892,467.69,0.0032502,12.527,6.0232e-05,7.9329e-05,0.15707,9.1623,1.4746e-13,77
130,-2,6000,-36.732,-0.0777,1.6966,-6.2437,0.71375,5.3693e-05,0.00050398,0.23372,3.1077e-05,0.0015897,1.6368,1.7141,3.7134,544.01,0.021157,55.364,0.0001394,0.00019159,0.17871,7.4564,1.1939e-13,78
130,-2,7000,46.542,-0.13598,2.2929,-6.7078,0.86346,0.0001037,0.00062054,0.24926,3.435e-05,0.001541,2.1832,2.2786,5.1233,606.62,0.034483,69.404,0.00025123,0.00035733,0.17479,7.043,1.2332e-13,79
130,-2,8000,-58.586,-0.22409,2.9773,-7.2719,0.9138,0.00016611,0.0006155,0.22446,4.007e-05,0.0015089,2.7938,2.9077,5.5071,616.62,0.14509,205.71,0.00041871,0.00062135,0.19158,7.3331,1.0602e-13,80
130,0,1000,-132.44,0.001369,9.8554e-06,186.86,9.9041,1.8398e-12,5.5973e-12,817.41,4.399,315.89,0.0014018,3.128e-05,126.91,820.08,6.1853,0.0002233,1.6016e-10,1.5646e-10,0.00071714,0.00090756,4.2816e-11,81
130,0,2000,-5.1473,0.0016949,0.014605,2.2778,0.016407,4.667e-10,6.2527e-08,0.0077567,-3.1625e-06,-0.00080306,0.0026312,0.00086229,1.3935,202.36,1.0136e-14,3.8831e-11,3.7382e-11,3.6311e-11,0.06816,2.0538e-10,3.6387e-10,82
130,0,3000,-11.603,-0.001943,0.29159,-3.4299,0.121,6.5236e-07,3.3726e-05,0.05339,-22979000,-23.543,0.17899,0.1666,1285600,278.7,4.8934e-11,45.688,0.00051591,0.00045446,6.2532e-08,699.38,2.228e-13,83
130,0,4000,-18.629,-0.016164,0.79687,-4.8839,0.27989,7.5629e-06,0.00020892,0.11404,-0.00049613,-0.02345,0.77769,0.82197,1.1209,321.79,3.2421,7225.9,1.8748e-05,2.0441e-05,0.15009,6.1521,2.1559e-13,84
130,0,5000,-25.391,-0.041774,1.3785,-4.3569,0.44391,2.8294e-05,0.00049383,0.16705,-5.9696e-05,-0.0021887,1.3231,1.4008,2.2238,375.3,0.2138,287.4,6.5586e-05,9.5638e-05,0.16712,4.9782,2.249e-13,85
130,0,6000,-33.487,-0.086774,2.0936,-4.8671,0.61318,7.4463e-05,0.0008236,0.20909,-9.5408e-05,-0.0029049,1.9782,2.0912,3.5536,433.43,0.2463,228.31,0.00014335,0.00022021,0.17521,4.5317,1.5871e-13,86
130,0,7000,-41.709,-0.14657,2.7917,-5.2198,0.7456,0.00014089,0.0010442,0.22916,-0.00013758,-0.0037208,2.6111,2.7497,4.2361,491.36,1.1911,871.22,0.00025238,0.00040324,0.18251,4.6894,1.5968e-13,87
130,0,8000,-51.358,-0.23667,3.5942,-5.4607,0.88289,0.00024807,0.0012147,0.23911,-0.0001379,-0.0033804,3.3171,3.4726,4.5727,549.97,1.272,764.36,0.00041849,0.00069367,0.2026,5.1248,1.3185e-13,88
130,2,1000,13.059,0.0014159,0.00040434,7.7471,0.11157,1.0437e-12,4.6454e-11,0.048434,0.50447,215.15,0.0020688,0.00066704,118.89,1989.8,0.0099298,86.488,1.3056e-08,1.2823e-08,22.219,0.6043,6.3612e-10,89
130,2,2000,7.3304,0.0017151,0.027695,2.5414,0.012313,9.0561e-10,8.1268e-08,0.0056898,3.8241e-05,0.0024306,0.017428,0.015933,1.9458,147.65,0.070266,283.9,1.0724e-08,1.3902e-08,0.12306,7.2931,3.3049e-12,90
130,2,3000,-12.626,-0.0033872,0.40502,-3.3654,0.099875,9.6516e-07,4.485e-05,0.043569,-5.0719e-05,-0.0022916,0.36292,0.38083,0.7395,219.34,0.11221,229.08,3.6984e-06,5.1065e-06,0.10241,4.4756,2.8322e-13,91
130,2,4000,19.167,-0.019309,0.97804,-3.3199,0.22771,9.0597e-06,0.00024036,0.092203,-0.0001628,-0.0048111,0.91293,0.96694,0.93082,263.98,0.422,368.55,2.2232e-05,3.3915e-05,0.142,3.9766,1.988e-13,92
130,2,5000,-25.64,-0.046465,1.6189,-3.5871,0.35812,3.1259e-05,0.00053735,0.13437,-0.00014284,-0.0033428,1.5098,1.6017,2.3934,312.98,0.85293,467.15,5.7249e-05,9.3596e-05,0.1539,2.9742,1.9461e-13,93
130,2,6000,-33.239,-0.091151,2.3895,-3.9814,0.47831,7.6034e-05,0.00085191,0.1636,0.00040156,0.0079752,2.2167,2.3453,3.1655,370.61,5.1104,2015.7,0.00012311,0.00021293,0.16492,2.9631,1.9595e-13,94
130,2,7000,-41.008,-0.15038,3.1555,-4.2753,0.58078,0.00014157,0.0010836,0.18011,0.00021436,0.0038471,2.911,3.0631,3.4999,427.62,2.3426,754.53,0.00021674,0.00039112,0.18193,3.1784,1.9127e-13,95
130,2,8000,-49.849,-0.23451,4.0073,-4.4672,0.67233,0.00023823,0.0012404,0.18577,0.00023153,0.0038448,3.6736,3.8354,3.8617,485.06,4.0235,1109.6,0.00036328,0.00067922,0.21122,3.5452,1.768e-13,96
130,4,1000,640.62,0.0050854,0.0075045,-152.02,377.32,9.6777e-08,9.4868e-08,1.9686,-26428000,853740,0.070674,0.017267,-1063500,-208120,2.7319e-22,8.3171e-19,2.9944e-06,2.3467e-07,2.4914e-19,1.3235e-17,6.4161e-10,97
130,4,2000,13.415,0.01308,0.089574,13.648,0.010721,4.8092e-09,2.0677e-07,0.0046359,0.00051985,0.0086257,0.064942,0.051586,1.1081,108.04,26.097,7184.6,2.3257e-07,4.186e-07,0.84081,11.914,1.6682e-12,98
130,4,3000,15.924,0.016084,0.50216,-1.8447,0.039024,4.76e-07,1.6322e-05,0.016401,-0.00012827,-0.0030429,0.43124,0.42349,2.1693,181.49,0.25055,141,1.8337e-06,2.9588e-06,0.067477,1.296,3.8056e-13,99
