"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
142.5,11,1720,160.59,0.0085234,3.2914,-42.184,9.4199,0.00014109,0.00051814,5.6028,0.0013792,0.0097533,3.4341,3.2144,-13.697,-641.24,405.08,20255,0.0013745,0.0019486,1.4292,13.308,4.8038e-13
142.5,11,1840,177.08,-0.018483,3.748,-45.177,12.837,0.00023792,0.00074092,7.3337,0.001582,0.0098414,3.8879,3.599,-13.545,-644.02,549.02,21245,0.001769,0.0025846,1.723,13.921,4.8307e-13
142.5,11,2080,221.09,-0.12308,4.9548,-45.905,19.758,0.00056225,0.0013673,11.1,-0.0020021,-0.010124,4.9707,4.4191,-12.839,-690.72,971.6,24850,0.002938,0.0045561,2.4179,16.308,6.1172e-13
142.5,11,2200,230.01,-0.1418,5.1454,-72.643,14.77,0.00052752,0.00085654,5.6506,0.0031348,0.01253,5.1913,4.4929,-11.615,-693.56,3126.6,49961,0.0033026,0.0054807,3.6034,17.227,1.9254e-12
142.5,13,1000,88.005,0.086326,1.0148,-22.764,1.1767,2.3235e-06,2.5379e-05,0.92768,0.00030097,0.0040278,1.1087,1.0292,-16.297,-449.88,10.973,1965.5,9.2147e-05,0.00011549,0.40167,8.0475,9.6665e-13
142.5,13,1120,98.472,0.092565,1.3317,-26.029,1.6689,5.3075e-06,4.7314e-05,1.2452,-0.0003934,-0.0045912,1.4609,1.3713,-15.552,-497.51,20.515,2794.3,0.0001727,0.00022124,0.50121,8.2726,6.9107e-13
142.5,13,1240,110.32,0.096053,1.683,-26.559,2.346,1.0821e-05,8.5307e-05,1.8017,-0.00060329,-0.0062775,1.8311,1.7258,-15.38,-543.66,52.546,5689.3,0.0002895,0.00037847,0.60136,9.4064,5.8984e-13
142.5,13,1360,122.17,0.095913,2.027,-29.226,3.2744,2.0628e-05,0.0001363,2.4191,-0.00060167,-0.0054243,2.1975,2.0738,-15.045,-547.15,55.581,4518.2,0.00044,0.00059032,0.78484,9.811,4.9062e-13
142.5,13,1480,132.58,0.099689,2.3996,-32.687,3.3048,2.8171e-05,0.00015641,2.2964,-0.00071143,-0.0058817,2.5864,2.4326,-14.538,-593.38,83.035,5676.2,0.00063439,0.00086817,0.90374,10.577,4.6874e-13
142.5,13,1600,147.77,0.094168,2.8239,-34.576,4.9903,5.5043e-05,0.00026044,3.4081,0.0011731,0.0085262,3.0191,2.8234,-14.567,-596.53,190.35,10055,0.00090345,0.0012693,1.161,11.461,4.5965e-13
