"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Run Number"
110,0,1466.666667,13.972,-0.002239,0.3971,8.4536,0.026291,2.2386e-07,9.1296e-06,0.011297,-9695200,4469.9,0.16456,0.012319,-6.7294,-76.615,0.000169,7152.5,8.2932e-06,5.0865e-05,128800,0.2045,65
110,0,1933.333333,-19.584,-0.006851,0.73494,8.6283,0.030146,6.6576e-07,1.7129e-05,0.012148,-0.0005603,-0.004243,0.71959,0.75754,3.6084,-95.199,7.6825,440.56,7.0625e-06,1.4067e-05,0.12412,0.95376,66
110,0,2400,26.462,-0.015617,1.1392,7.98,0.034652,1.4638e-06,2.3944e-05,0.012875,-0.00016145,-0.0010912,1.0926,1.141,3.0771,-106.78,0.54826,25.047,1.4119e-05,2.937e-05,0.12925,0.8146,67
110,0,2866.666667,-32.721,-0.025366,1.5118,7.6902,0.039865,2.5629e-06,2.9511e-05,0.013725,6.25e-05,0.00038653,1.4634,1.515,2.7505,-143.08,46.144,1764.6,2.4849e-05,5.3231e-05,0.1286,0.80802,68
110,0,3333.333333,-39.777,-0.042107,1.9683,7.5683,0.060168,5.8077e-06,4.7089e-05,0.018958,-8.5489e-05,-0.00050773,1.8591,1.9032,4.2009,-149.85,1.479,52.166,3.954e-05,8.6324e-05,0.1323,0.87988,69
110,0,3800,-47.227,-0.053439,2.3101,7.2051,0.044842,5.4253e-06,3.1531e-05,0.01283,-7.851e-05,-0.00044239,2.2365,2.2641,3.3061,-187.81,1.4498,46.037,6.6458e-05,0.00014772,0.1642,0.98865,70
110,0,4266.666667,-53.659,-0.066986,2.6748,7.3124,0.049826,7.5956e-06,3.3948e-05,0.013086,1.0231e-05,5.546e-05,2.5658,2.5733,3.4105,-193.54,0.0078429,0.23037,8.8919e-05,0.00020098,0.17414,1.0392,71
110,0,4733.333333,-61.193,-0.084611,3.0481,6.7198,0.052087,9.751e-06,3.2868e-05,0.012342,-0.00010054,-0.00053547,2.9459,2.9177,5.1426,-199.86,0.59725,16.943,0.00012702,0.00028911,0.19996,1.2147,72
110,0,5200,71.233,-0.096803,3.5097,6.7395,0.04856,1.1418e-05,2.7533e-05,0.0099923,0.00038991,0.0020018,3.3836,3.302,3.6535,-238,12.677,334.13,0.00020463,0.00047188,0.25237,1.4705,73
110,0,5666.666667,79.962,-0.1223,3.9874,6.8274,0.06648,1.951e-05,3.6534e-05,0.012059,-0.00083065,-0.0042605,3.8293,3.6693,5.2576,-243.94,37.138,977.01,0.00025958,0.00059828,0.26227,1.6168,74
