"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
106,0,4000,89.063,0.65087,2.7684,7.4388,0.17807,2.4557e-05,3.6747e-05,0.028241,-0.00316,-0.0087291,3.451,2.5668,0.7015,-194.44,300.65,2294.2,8.6909e-05,0.00027576,0.31517,1.04,6.5986e-12
118,-26,7000,88.918,4.6453,2.0808,2.7716,0.18497,1.4422e-05,2.1625e-05,0.029365,0.00027866,0.0010389,6.7563,1.9445,-1.7787,-359.35,15.948,221.68,3.7177e-05,0.00014062,0.31829,1.4096,7.5105e-13
160,6,4000,51962,52.68,-47.603,-44.041,0.0014392,107.93,107.93,386.3,0.024532,0.7835,5.079,0.00069427,54.218,-2010.2,0.834,831.34,5.2295e-09,1.5638e-08,636.44,154790,6.5986e-12
148,-2,7000,-5.2572,0.0036736,0.0091572,7.6478,0.016186,1.8154e-10,2.3401e-08,0.0079455,-1.2519e-07,-4.0344,2.1097,2.1059,31.007,-14.493,7.3404e-17,1.7885e-21,2.5706e-10,2.5706e-10,3.5587e-24,3.0117e-26,6.5986e-12
106,0,5000,109.34,0.94447,3.3766,7.6109,0.42025,8.3319e-05,8.7375e-05,0.048948,-0.0037505,-0.011092,4.3452,3.0242,2.0873,-237.88,554.21,4847,0.00016431,0.00049881,0.40375,1.4438,6.5986e-12
118,-26,8000,100.65,5.3364,2.4222,3.2941,0.31112,3.2135e-05,3.8269e-05,0.041354,-0.00053397,-0.0020959,7.8112,2.2375,-1.4769,-374.47,11.677,179.92,6.0623e-05,0.00022284,0.37392,1.7505,7.5105e-13
160,6,5000,78.958,6.2104,0.0025921,93.71,683.44,7.9095e-08,1.8239e-07,143.68,20.146,-4253.2,6.181,-0.021753,-74.316,-34886,3470.6,8.3237,0.017808,0.014537,6665.1,0.030412,6.5986e-12
148,-2,8000,66.829,0.0034182,0.0098997,20.401,2.1462,4.0936e-09,1.1438e-08,0.47216,828470,-254100,0.0058716,0.00075323,-10064000,-2496.7,2.4633e-12,5.893e-11,758950,758950,6.669e-14,3.6137e-07,6.5986e-12
106,0,6000,129.76,1.3172,3.9916,6.7719,0.75491,0.00020557,0.00017944,0.063784,-0.0027811,-0.0089485,5.3292,3.4448,3.2263,-285.17,435.45,4508.1,0.00031639,0.0009153,0.562,2.149,6.5986e-12
118,-25.272727,3000,46.384,1.9415,0.78153,1.6971,0.049078,6.8603e-07,4.132e-06,0.014194,0.00029495,0.00093023,2.7277,0.76462,-1.5233,-172.22,3.4525,34.345,2.7533e-06,1.1257e-05,0.16991,0.60333,7.5105e-13
160,6,6000,-40.717,7.4661,0.0027853,48.238,292.7,5.5643e-08,4.377e-07,91.903,-70.81,125.35,7.4674,-4.9108e-07,93.435,-5.7741,1.7707,1.9274,2.0561e-09,1.4291e-11,0.30775,0.039082,6.5986e-12
148,0,3000,35.389,0.0018433,3.202e-05,10.372,35.376,9.6994e-13,9.7351e-12,11.782,5.9056,240.91,0.0018979,3.2681e-05,-37.509,1761.4,1.3205,0.13854,3.3004e-12,1.8274e-12,85.616,0.0037435,6.5986e-12
106,0,7000,145.62,1.74,4.4848,6.713,1.1175,0.0003809,0.0003134,0.07334,-0.0023535,-0.0083278,6.2403,3.7745,3.3975,-329.14,378.28,4736.7,0.00049238,0.0013529,0.66266,2.7716,6.5986e-12
118,-25.272727,4000,56.994,2.5771,1.1325,1.8751,0.079225,2.1086e-06,8.2859e-06,0.01988,0.0036947,0.011881,3.723,1.1127,-1.1014,-191.34,193.05,1996.3,6.1297e-06,2.4787e-05,0.17763,0.69966,7.5105e-13
160,6,7000,-57843000,8.6251,0.0003045,240110,5.2238e-21,50316,50318,8.3784e-16,236.71,261.82,8.6267,0.0025397,51.096,-276.89,17708,4422.6,2.825e-08,3.6029e-08,1540.6,525.94,6.5986e-12
148,0,4000,48.329,0.0023069,4.0221e-05,25.023,41.361,1.4972e-12,8.3473e-12,11.7,0.0030041,0.027349,0.0023653,2.9935e-05,1.3127,31.416,1.2796e-07,2.1128e-06,5.7341e-13,7.5614e-13,9.7498,74.84,6.5986e-12
106,0,8000,160.71,2.2502,4.9495,6.3015,1.4678,0.00060508,0.00048957,0.075593,0.0011013,0.0042406,7.1936,4.0605,3.7134,-375.71,126.22,1871.3,0.00075249,0.0019811,0.80893,3.665,6.5986e-12
118,-25.272727,5000,66.136,3.1706,1.4917,2.9713,0.081884,3.5666e-06,1.0129e-05,0.018103,0.00011815,0.00040285,4.6705,1.4126,-1.4451,-248.33,0.38142,4.4341,1.2346e-05,4.8635e-05,0.21652,0.94095,7.5105e-13
160,6,8000,14.893,9.7988,-0.00047361,-75.803,2.9058,3.332e-11,1.2538e-09,1.2385,9188200,2328.2,9.7989,-0.2328,-456.83,1242.3,1.0689e-10,300.62,1.4762e-11,7.4504e-05,1818.3,85.924,6.5986e-12
148,0,5000,47.973,0.0027454,5.8437e-05,21.41,14.044,1.0775e-12,6.087e-12,3.9873,0.0009395,0.0097062,0.0028143,4.3148e-05,-5.2631,-106.02,8.3918e-07,8.8093e-05,7.0087e-13,8.7386e-13,3.9368,43.637,6.5986e-12
106,2,3000,56.793,1.121,1.5963,8.7189,0.092411,4.8924e-06,1.9387e-05,0.023266,0.0046909,0.011067,2.7252,1.5411,1.5996,-139.82,449.43,2501.4,1.9184e-05,6.7025e-05,0.23051,0.63635,6.5986e-12
118,-25.272727,6000,78.827,3.8543,1.8922,2.9341,0.088235,5.8552e-06,1.1298e-05,0.016261,-0.00036807,-0.0013352,5.7461,1.7709,-1.365,-305.46,3.4528,45.442,2.5715e-05,9.8268e-05,0.27283,1.2704,7.5105e-13
148,0,6000,28.196,0.0032412,0.00014314,12.238,2.4976,1.5923e-12,2.3525e-11,0.90893,-0.0080141,-0.070967,0.0033384,7.3325e-05,10.847,-195.62,0.00026517,0.019681,5.4045e-11,7.0163e-11,204.43,1670.2,6.5986e-12
106,2,4000,76.717,1.5918,2.0975,7.391,0.16467,1.3523e-05,2.7707e-05,0.031319,-0.0018452,-0.0043338,3.7333,2.0133,2.4854,-186.92,76.966,424.55,3.6242e-05,0.00012636,0.25706,0.72961,6.5986e-12
118,-25.272727,7000,89.754,4.4788,2.2325,3.4464,0.13566,1.2152e-05,1.7887e-05,0.021271,-0.00028762,-0.0011165,6.7286,2.0718,-2.0414,-361.65,2.4739,37.277,4.1822e-05,0.00015455,0.30668,1.4577,7.5105e-13
148,0,7000,-8.5318,0.0032178,0.050203,8.2648,0.060772,1.2787e-08,9.6065e-07,0.02774,9.5278e-05,0.080872,0.0055161,0.0017627,14.849,-539.52,0.077738,55648,5.7378e-08,5.7029e-08,10.04,2603.3,6.5986e-12
106,2,5000,93.757,2.0842,2.5571,7.8635,0.33869,3.944e-05,5.342e-05,0.05007,0.00065436,0.0016631,4.6776,2.3848,3.0997,-232.41,40.276,260.23,7.3243e-05,0.00024261,0.34307,1.0395,6.5986e-12
118,-25.272727,8000,101.42,5.1298,2.6088,3.4066,0.23777,2.8454e-05,3.3458e-05,0.031236,-0.0010706,-0.0044571,7.7884,2.3794,-1.5252,-421.01,59.9,1038.1,7.5453e-05,0.0002698,0.39445,1.9216,7.5105e-13
148,0,8000,-9.8816,0.0035354,0.06241,2.6132,0.088623,2.5238e-08,1.5902e-06,0.039856,1.081,31.899,0.02043,0.017005,-37.812,-572.99,0.36457,181.38,2.3524e-06,2.2757e-06,82.579,997.63,6.5986e-12
106,2,6000,111.05,2.6307,3.033,7.0824,0.52179,8.3313e-05,8.55e-05,0.059164,0.00052625,0.0014365,5.7033,2.7401,3.3768,-277.24,14.13,105.28,0.00013962,0.0004424,0.45902,1.4655,6.5986e-12
118,-24.545455,3000,46.526,1.8605,0.8435,1.8835,0.063874,1.0384e-06,6.2164e-06,0.018439,0.00049637,0.0016434,2.7067,0.82545,0.55265,-172.35,7.3059,80.091,3.1377e-06,1.245e-05,0.15909,0.57962,7.5105e-13
148,2,3000,42.906,0.001856,2.6842e-05,7.4658,79.319,1.3635e-12,9.5691e-12,24.006,0.050117,0.8319,0.0019005,1.5444e-05,-10.275,1.8445,0.41416,114.17,1.8793e-12,2.1367e-12,113.53,0.46966,6.5986e-12
106,2,7000,125.46,3.1927,3.4294,6.3033,0.7564,0.0001525,0.0001367,0.068387,-0.00078733,-0.0022888,6.6641,3.0333,3.211,-287.81,30.014,253.64,0.00021576,0.00066013,0.54417,1.8623,6.5986e-12
118,-24.545455,4000,57.014,2.4671,1.2335,2.404,0.071588,2.2599e-06,8.8737e-06,0.017959,-0.00066567,-0.0022954,3.6942,1.1856,-1.2554,-194.36,11.413,135.71,7.9493e-06,3.0837e-05,0.18904,0.73104,7.5105e-13
148,2,4000,45.243,0.00231,4.5311e-05,24.252,23.251,1.1056e-12,7.0258e-12,6.8445,-0.0022631,-0.026339,0.0023711,2.7369e-05,-1.3275,-188.5,3.3583e-07,2.2363e-05,1.9977e-12,2.3932e-12,30.117,280.88,6.5986e-12
106,2,8000,139.39,3.831,3.8201,6.7372,1.054,0.00026147,0.00021879,0.076414,0.00033365,0.0010525,7.6671,3.2819,3.7677,-332.64,19.897,198.01,0.00033492,0.00097862,0.67481,2.524,6.5986e-12
118,-24.545455,5000,67.024,3.0475,1.6014,2.576,0.080379,4.016e-06,1.1074e-05,0.017549,-0.0007628,-0.0027296,4.6504,1.5397,-1.1377,-249.59,19.616,251.18,1.4215e-05,5.4351e-05,0.19767,0.88947,7.5105e-13
148,2,5000,-17.005,0.0027616,0.0001996,13.159,0.33484,6.1115e-13,1.9166e-11,0.13901,1.5997e-07,2.5801,0.83911,0.8363,171.51,-84.321,9.7894e-17,1.0469e-21,2.5725e-10,2.5725e-10,6.7713e-22,7.3851e-26,6.5986e-12
106,4,3000,48.677,1.813,1.1015,8.4388,0.073109,1.9802e-06,1.0829e-05,0.020523,0.0035316,0.0079829,2.9222,1.0728,2.5209,-136.65,287.38,1468.4,1.0174e-05,3.6472e-05,0.26563,0.65305,6.5986e-12
118,-24.545455,6000,78.457,3.7011,2.01,3.0137,0.082315,6.1713e-06,1.203e-05,0.015253,-0.00043172,-0.0016598,5.7224,1.903,-1.1727,-307.78,4.6961,69.415,2.9858e-05,0.00011019,0.25704,1.26,7.5105e-13
148,2,6000,9.5881,0.0031804,0.005856,9.1229,0.019725,5.0808e-11,3.3201e-09,0.0088994,0.23877,41.145,0.0060019,0.0027563,1.0022,166.21,0.063988,651.8,8.9585e-07,8.679e-07,344.42,18808,6.5986e-12
106,4,4000,65.815,2.4605,1.4777,8.261,0.14241,6.0956e-06,1.7516e-05,0.031648,0.0010818,0.0024025,3.9659,1.4404,2.9302,-183.85,37.877,186.81,1.5159e-05,5.4575e-05,0.22037,0.56524,6.5986e-12
118,-24.545455,7000,89.801,4.2935,2.3935,3.3984,0.11182,1.1513e-05,1.6927e-05,0.017521,0.0011743,0.0047743,6.7127,2.2293,-1.3438,-364.98,59.516,983.72,5.4194e-05,0.00019494,0.32569,1.6685,7.5105e-13
148,2,7000,11.066,0.0036769,0.0025684,8.1016,0.031534,1.3753e-11,7.5425e-10,0.013997,-6.1187e-06,-0.0025223,0.015632,0.011789,7.2651,-473.54,2.8678e-09,0.00048846,9.2636e-07,9.1221e-07,2.405,800.51,6.5986e-12
106,4,5000,80.129,3.0842,1.8236,7.5786,0.22831,1.4006e-05,2.6116e-05,0.041322,0.005245,0.012054,4.9417,1.7396,1.7513,-197.11,606.95,3205.2,2.8358e-05,9.9711e-05,0.27027,0.73008,6.5986e-12
118,-24.545455,8000,101.57,4.9373,2.8145,3.728,0.16167,2.2513e-05,2.6406e-05,0.02119,-0.0008945,-0.0038838,7.7746,2.5577,-1.8328,-423.28,38.959,734.42,8.8826e-05,0.00031017,0.38785,2.0372,7.5105e-13
